region,confirmed,deaths,recovered
BARMM,1411,41,995
CAR,2079,21,1199
CARAGA,1704,41,1003
NCR,170593,2844,147459
ROF,12000,31,11719
Region I: Ilocos Region,2281,52,1536
Region II: Cagayan Valley,2097,31,1443
Region III: Central Luzon,18106,224,13248
Region IV-A: CALABARZON,58612,652,46245
Region IV-B: MIMAROPA,1668,24,1146
Region IX: Zamboanga Peninsula,2473,96,1909
Region V: Bicol Region,2662,78,2193
Region VI: Western Visayas,13238,282,9462
Region VII: Central Visayas,22483,1256,19738
Region VIII: Eastern Visayas,5218,43,4387
Region X: Northern Mindanao,3652,73,2436
Region XI: Davao Region,3550,90,2676
Region XII: SOCCSKSARGEN,1910,35,1271
