region,confirmed,deaths,recovered
BARMM,409,5,324
CAR,275,2,144
CARAGA,166,2,102
NCR,53135,1029,34493
REPATRIATE,3630,8,3158
Region I: Ilocos Region,365,17,193
Region II: Cagayan Valley,285,1,179
Region III: Central Luzon,2393,63,1541
Region IV-A: CALABARZON,9756,171,5182
Region IV-B: MIMAROPA,271,6,179
Region IX: Zamboanga Peninsula,776,17,535
Region V: Bicol Region,501,7,298
Region VI: Western Visayas,1383,17,790
Region VII: Central Visayas,15782,627,11592
Region VIII: Eastern Visayas,832,2,633
Region X: Northern Mindanao,609,11,407
Region XI: Davao Region,1239,46,817
Region XII: SOCCSKSARGEN,321,3,168
