region,confirmed,deaths,recovered
BARMM,763,16,571
CAR,962,11,637
CARAGA,659,9,398
NCR,132350,1909,104943
ROF,10488,23,8786
Region I: Ilocos Region,1256,33,901
Region II: Cagayan Valley,1075,8,648
Region III: Central Luzon,9679,142,6293
Region IV-A: CALABARZON,37192,375,27051
Region IV-B: MIMAROPA,808,9,611
Region IX: Zamboanga Peninsula,1747,54,1268
Region V: Bicol Region,1938,32,1304
Region VI: Western Visayas,7026,89,4013
Region VII: Central Visayas,20291,1052,17682
Region VIII: Eastern Visayas,3559,25,2324
Region X: Northern Mindanao,1867,28,1229
Region XI: Davao Region,2398,60,1945
Region XII: SOCCSKSARGEN,815,8,555
