region,confirmed,deaths,recovered
BARMM,1886,53,1426
CAR,3210,33,2129
CARAGA,2721,83,1815
NCR,183375,3290,168501
ROF,12580,37,12213
Region I: Ilocos Region,2953,80,2403
Region II: Cagayan Valley,2875,37,2173
Region III: Central Luzon,21748,315,18373
Region IV-A: CALABARZON,68033,823,59132
Region IV-B: MIMAROPA,1957,28,1722
Region IX: Zamboanga Peninsula,3637,124,2523
Region V: Bicol Region,3156,97,2633
Region VI: Western Visayas,16704,390,13533
Region VII: Central Visayas,23468,1294,21222
Region VIII: Eastern Visayas,6593,54,5497
Region X: Northern Mindanao,5260,96,3788
Region XI: Davao Region,4949,124,3530
Region XII: SOCCSKSARGEN,2831,70,2028
