region,confirmed,deaths,recovered
BARMM,715,13,507
CAR,881,9,503
CARAGA,554,5,349
NCR,126955,1762,89928
ROF,10326,21,7634
Region I: Ilocos Region,1211,29,784
Region II: Cagayan Valley,921,6,570
Region III: Central Luzon,9002,128,5009
Region IV-A: CALABARZON,34399,348,22232
Region IV-B: MIMAROPA,694,7,516
Region IX: Zamboanga Peninsula,1635,50,1072
Region V: Bicol Region,1745,30,1033
Region VI: Western Visayas,5743,80,2768
Region VII: Central Visayas,19993,1031,17101
Region VIII: Eastern Visayas,3165,14,1661
Region X: Northern Mindanao,1657,20,983
Region XI: Davao Region,2275,59,1688
Region XII: SOCCSKSARGEN,666,4,481
