region,confirmed,deaths,recovered
BARMM,283,4,55
CAR,152,3,96
CARAGA,176,1,34
MIMAROPA,183,4,90
NCR,32116,940,12397
REPATRIATE,2451,2,1062
Region I: Ilocos Region,222,13,74
Region II: Cagayan Valley,178,1,50
Region III: Central Luzon,1596,51,703
Region IV-A: CALABARZON,4896,157,1866
Region IX: Zamboanga Peninsula,499,11,207
Region V: Bicol Region,313,6,96
Region VI: Western Visayas,773,11,140
Region VII: Central Visayas,11494,393,3040
Region VIII: Eastern Visayas,674,2,333
Region X: Northern Mindanao,474,11,74
Region XI: Davao Region,877,41,444
Region XII: SOCCSKSARGEN,166,2,50
