region,confirmed,deaths,recovered
BARMM,1049,31,709
CAR,1131,14,880
CARAGA,994,13,593
NCR,153144,2451,127169
ROF,11551,30,10869
Region I: Ilocos Region,1746,41,1176
Region II: Cagayan Valley,1612,18,1010
Region III: Central Luzon,14492,176,9226
Region IV-A: CALABARZON,48207,522,36200
Region IV-B: MIMAROPA,1193,19,788
Region IX: Zamboanga Peninsula,2071,75,1575
Region V: Bicol Region,2321,55,1818
Region VI: Western Visayas,10018,158,6923
Region VII: Central Visayas,21385,1199,18848
Region VIII: Eastern Visayas,4342,39,3608
Region X: Northern Mindanao,2559,49,1842
Region XI: Davao Region,2810,67,2301
Region XII: SOCCSKSARGEN,1321,17,776
