region,confirmed,deaths,recovered
BARMM,1542,45,1154
CAR,2319,25,1446
CARAGA,2046,61,1260
NCR,175812,3048,155721
ROF,12140,35,11921
Region I: Ilocos Region,2437,66,1763
Region II: Cagayan Valley,2349,32,1703
Region III: Central Luzon,19396,243,15075
Region IV-A: CALABARZON,62382,723,50760
Region IV-B: MIMAROPA,1795,25,1291
Region IX: Zamboanga Peninsula,2851,101,2033
Region V: Bicol Region,2779,81,2330
Region VI: Western Visayas,14522,329,10979
Region VII: Central Visayas,22813,1274,20385
Region VIII: Eastern Visayas,5552,48,4719
Region X: Northern Mindanao,4166,81,2782
Region XI: Davao Region,3870,100,2894
Region XII: SOCCSKSARGEN,2163,45,1518
