region,confirmed,deaths,recovered
BARMM,34,0,0
CAR,87,0,0
CARAGA,16,0,0
NCR,13694,0,0
Region I: Ilocos Region,113,0,0
Region II: Cagayan Valley,41,0,0
Region III: Central Luzon,735,0,0
Region IV-A: CALABARZON,1988,0,0
Region IV-B: MIMAROPA,74,0,0
Region IX: Zamboanga Peninsula,172,0,0
Region V: Bicol Region,94,0,0
Region VI: Western Visayas,136,0,0
Region VII: Central Visayas,4314,0,0
Region VIII: Eastern Visayas,191,0,0
Region X: Northern Mindanao,71,0,0
Region XI: Davao Region,425,0,0
Region XII: SOCCSKSARGEN,39,0,0
Repatriate,1615,0,0
