region,confirmed,deaths,recovered
BARMM,2090,56,1665
CAR,4171,41,2579
CARAGA,2976,85,2219
NCR,187428,3354,175025
ROF,12865,36,12596
Region I: Ilocos Region,3177,89,2670
Region II: Cagayan Valley,3171,39,2589
Region III: Central Luzon,23217,343,20102
Region IV-A: CALABARZON,70868,859,64217
Region IV-B: MIMAROPA,2022,29,1848
Region IX: Zamboanga Peninsula,4130,126,3110
Region V: Bicol Region,3428,100,2832
Region VI: Western Visayas,17963,419,15189
Region VII: Central Visayas,23960,1325,21701
Region VIII: Eastern Visayas,7144,59,6039
Region X: Northern Mindanao,5779,116,4469
Region XI: Davao Region,5855,150,4165
Region XII: SOCCSKSARGEN,3252,81,2346
