region,confirmed,deaths,recovered
BARMM,1386,41,995
CAR,2000,21,1163
CARAGA,1651,39,1003
NCR,169553,2821,147207
ROF,11985,30,11717
Region I: Ilocos Region,2272,52,1536
Region II: Cagayan Valley,2056,29,1443
Region III: Central Luzon,17805,218,13242
Region IV-A: CALABARZON,57811,640,46182
Region IV-B: MIMAROPA,1637,24,1146
Region IX: Zamboanga Peninsula,2442,96,1882
Region V: Bicol Region,2653,77,2192
Region VI: Western Visayas,13125,274,9441
Region VII: Central Visayas,22460,1256,19742
Region VIII: Eastern Visayas,5188,43,4370
Region X: Northern Mindanao,3531,71,2436
Region XI: Davao Region,3485,87,2674
Region XII: SOCCSKSARGEN,1878,35,1270
