region,confirmed,deaths,recovered
BARMM,744,15,517
CAR,941,11,508
CARAGA,606,8,344
NCR,130704,1857,91671
ROF,10410,22,7907
Region I: Ilocos Region,1246,33,789
Region II: Cagayan Valley,1009,7,580
Region III: Central Luzon,9425,138,5068
Region IV-A: CALABARZON,36162,365,22462
Region IV-B: MIMAROPA,741,8,536
Region IX: Zamboanga Peninsula,1701,53,1094
Region V: Bicol Region,1881,30,1033
Region VI: Western Visayas,6640,86,3041
Region VII: Central Visayas,20159,1039,17122
Region VIII: Eastern Visayas,3436,20,1954
Region X: Northern Mindanao,1801,24,988
Region XI: Davao Region,2357,60,1840
Region XII: SOCCSKSARGEN,741,7,493
