region,confirmed,deaths,recovered
BARMM,1110,33,709
CAR,1248,16,888
CARAGA,1102,14,593
NCR,156889,2504,127898
ROF,11755,30,10975
Region I: Ilocos Region,1817,42,1169
Region II: Cagayan Valley,1730,18,1010
Region III: Central Luzon,15182,182,9250
Region IV-A: CALABARZON,49882,538,36302
Region IV-B: MIMAROPA,1220,19,804
Region IX: Zamboanga Peninsula,2144,80,1596
Region V: Bicol Region,2383,56,1816
Region VI: Western Visayas,10638,175,7242
Region VII: Central Visayas,21658,1201,18906
Region VIII: Eastern Visayas,4456,40,3766
Region X: Northern Mindanao,2739,49,1841
Region XI: Davao Region,2900,68,2336
Region XII: SOCCSKSARGEN,1418,17,794
