region,confirmed,deaths,recovered
BARMM,58,0,0
CAR,111,0,0
CARAGA,89,0,0
NCR,17121,0,0
Region I: Ilocos Region,139,0,0
Region II: Cagayan Valley,47,0,0
Region III: Central Luzon,885,0,0
Region IV-A: CALABARZON,2477,0,0
Region IV-B: MIMAROPA,88,0,0
Region IX: Zamboanga Peninsula,203,0,0
Region V: Bicol Region,111,0,0
Region VI: Western Visayas,243,0,0
Region VII: Central Visayas,6783,0,0
Region VIII: Eastern Visayas,308,0,0
Region X: Northern Mindanao,101,0,0
Region XI: Davao Region,494,0,0
Region XII: SOCCSKSARGEN,55,0,0
Repatriate,1851,0,0
