region,confirmed,deaths,recovered
BARMM,11,0,0
CAR,42,0,0
CARAGA,3,0,0
NCR,6420,0,0
Region I: Ilocos Region,63,0,0
Region II: Cagayan Valley,34,0,0
Region III: Central Luzon,383,0,0
Region IV-A: CALABARZON,1230,0,0
Region IV-B: MIMAROPA,24,0,0
Region IX: Zamboanga Peninsula,49,0,0
Region V: Bicol Region,54,0,0
Region VI: Western Visayas,79,0,0
Region VII: Central Visayas,1082,0,0
Region VIII: Eastern Visayas,14,0,0
Region X: Northern Mindanao,15,0,0
Region XI: Davao Region,144,0,0
Region XII: SOCCSKSARGEN,16,0,0
