region,confirmed,deaths,recovered
BARMM,1482,45,994
CAR,2162,22,1339
CARAGA,1862,56,1068
NCR,173160,3007,148450
ROF,12088,32,11846
Region I: Ilocos Region,2341,60,1532
Region II: Cagayan Valley,2201,32,1442
Region III: Central Luzon,18707,239,13367
Region IV-A: CALABARZON,60531,692,46397
Region IV-B: MIMAROPA,1747,25,1151
Region IX: Zamboanga Peninsula,2606,101,1929
Region V: Bicol Region,2695,80,2198
Region VI: Western Visayas,13849,306,9970
Region VII: Central Visayas,22648,1272,19787
Region VIII: Eastern Visayas,5447,47,4485
Region X: Northern Mindanao,3808,74,2438
Region XI: Davao Region,3709,95,2817
Region XII: SOCCSKSARGEN,2060,43,1307
