region,confirmed,deaths,recovered
BARMM,37,0,0
CAR,102,0,0
CARAGA,19,0,0
NCR,14226,0,0
Region I: Ilocos Region,117,0,0
Region II: Cagayan Valley,44,0,0
Region III: Central Luzon,747,0,0
Region IV-A: CALABARZON,2044,0,0
Region IV-B: MIMAROPA,76,0,0
Region IX: Zamboanga Peninsula,178,0,0
Region V: Bicol Region,95,0,0
Region VI: Western Visayas,150,0,0
Region VII: Central Visayas,4832,0,0
Region VIII: Eastern Visayas,204,0,0
Region X: Northern Mindanao,82,0,0
Region XI: Davao Region,434,0,0
Region XII: SOCCSKSARGEN,44,0,0
Repatriate,1728,0,0
