region,confirmed,deaths,recovered
BARMM,836,22,571
CAR,982,11,685
CARAGA,753,9,441
NCR,138928,2006,105556
ROF,10626,22,8988
Region I: Ilocos Region,1404,33,911
Region II: Cagayan Valley,1210,10,647
Region III: Central Luzon,10815,150,6335
Region IV-A: CALABARZON,40735,401,27198
Region IV-B: MIMAROPA,883,13,602
Region IX: Zamboanga Peninsula,1840,60,1304
Region V: Bicol Region,2068,41,1309
Region VI: Western Visayas,7843,104,4246
Region VII: Central Visayas,20549,1075,17694
Region VIII: Eastern Visayas,3770,32,2678
Region X: Northern Mindanao,2143,31,1231
Region XI: Davao Region,2510,66,1999
Region XII: SOCCSKSARGEN,1023,15,559
