region,confirmed,deaths,recovered
BARMM,502,5,321
CAR,481,4,179
CARAGA,314,2,134
NCR,79374,1121,35703
REPATRIATE,6616,15,4273
Region I: Ilocos Region,698,22,236
Region II: Cagayan Valley,556,2,219
Region III: Central Luzon,4381,64,1598
Region IV-A: CALABARZON,18777,190,5465
Region IV-B: MIMAROPA,424,6,176
Region IX: Zamboanga Peninsula,1056,27,572
Region V: Bicol Region,913,9,320
Region VI: Western Visayas,2451,30,971
Region VII: Central Visayas,17871,832,13127
Region VIII: Eastern Visayas,1392,3,761
Region X: Northern Mindanao,897,12,411
Region XI: Davao Region,1619,53,981
Region XII: SOCCSKSARGEN,460,3,226
