region,confirmed,deaths,recovered
BARMM,1056,31,709
CAR,1169,14,877
CARAGA,1023,13,594
NCR,154700,2461,127368
ROF,11619,30,10918
Region I: Ilocos Region,1782,41,1170
Region II: Cagayan Valley,1666,18,1011
Region III: Central Luzon,14796,176,9243
Region IV-A: CALABARZON,48943,524,36254
Region IV-B: MIMAROPA,1192,19,787
Region IX: Zamboanga Peninsula,2093,75,1576
Region V: Bicol Region,2337,55,1816
Region VI: Western Visayas,10163,161,6963
Region VII: Central Visayas,21568,1199,18865
Region VIII: Eastern Visayas,4412,40,3632
Region X: Northern Mindanao,2670,48,1840
Region XI: Davao Region,2844,67,2303
Region XII: SOCCSKSARGEN,1377,17,777
