region,confirmed,deaths,recovered
BARMM,11,0,0
CAR,42,0,0
CARAGA,3,0,0
NCR,6596,0,0
Region I: Ilocos Region,64,0,0
Region II: Cagayan Valley,35,0,0
Region III: Central Luzon,389,0,0
Region IV-A: CALABARZON,1245,0,0
Region IV-B: MIMAROPA,28,0,0
Region IX: Zamboanga Peninsula,49,0,0
Region V: Bicol Region,55,0,0
Region VI: Western Visayas,86,0,0
Region VII: Central Visayas,1180,0,0
Region VIII: Eastern Visayas,14,0,0
Region X: Northern Mindanao,15,0,0
Region XI: Davao Region,156,0,0
Region XII: SOCCSKSARGEN,16,0,0
