region,confirmed,deaths,recovered
BARMM,859,23,630
CAR,1029,12,766
CARAGA,807,11,497
NCR,142757,2130,116848
ROF,10769,26,9906
Region I: Ilocos Region,1504,37,1020
Region II: Cagayan Valley,1299,12,781
Region III: Central Luzon,11506,161,7724
Region IV-A: CALABARZON,42512,429,31615
Region IV-B: MIMAROPA,982,16,659
Region IX: Zamboanga Peninsula,1868,66,1380
Region V: Bicol Region,2136,41,1580
Region VI: Western Visayas,8414,128,5228
Region VII: Central Visayas,20754,1123,18212
Region VIII: Eastern Visayas,3915,31,2901
Region X: Northern Mindanao,2249,34,1463
Region XI: Davao Region,2566,67,2114
Region XII: SOCCSKSARGEN,1101,15,627
