region,confirmed,deaths,recovered
BARMM,891,26,627
CAR,1055,13,773
CARAGA,878,12,499
NCR,146318,2322,116495
ROF,11171,29,9992
Region I: Ilocos Region,1595,37,1022
Region II: Cagayan Valley,1459,15,786
Region III: Central Luzon,12667,167,7762
Region IV-A: CALABARZON,45152,481,31621
Region IV-B: MIMAROPA,1087,18,663
Region IX: Zamboanga Peninsula,1957,71,1409
Region V: Bicol Region,2190,47,1574
Region VI: Western Visayas,8958,138,5405
Region VII: Central Visayas,20937,1187,18190
Region VIII: Eastern Visayas,4062,37,3191
Region X: Northern Mindanao,2346,38,1464
Region XI: Davao Region,2672,67,2180
Region XII: SOCCSKSARGEN,1201,17,631
