region,confirmed,deaths,recovered
BARMM,24,0,0
CAR,57,0,0
CARAGA,9,0,0
NCR,12000,0,0
Region I: Ilocos Region,73,0,0
Region II: Cagayan Valley,37,0,0
Region III: Central Luzon,680,0,0
Region IV-A: CALABARZON,1810,0,0
Region IV-B: MIMAROPA,68,0,0
Region IX: Zamboanga Peninsula,170,0,0
Region V: Bicol Region,86,0,0
Region VI: Western Visayas,121,0,0
Region VII: Central Visayas,3442,0,0
Region VIII: Eastern Visayas,40,0,0
Region X: Northern Mindanao,34,0,0
Region XI: Davao Region,356,0,0
Region XII: SOCCSKSARGEN,37,0,0
Repatriate,1067,0,0
