region,confirmed,deaths,recovered
BARMM,788,18,571
CAR,956,11,662
CARAGA,706,9,410
NCR,135079,1954,105155
ROF,10578,23,8861
Region I: Ilocos Region,1318,33,902
Region II: Cagayan Valley,1113,10,645
Region III: Central Luzon,10269,148,6321
Region IV-A: CALABARZON,38957,387,27116
Region IV-B: MIMAROPA,832,12,612
Region IX: Zamboanga Peninsula,1792,59,1285
Region V: Bicol Region,1979,35,1306
Region VI: Western Visayas,7472,93,4078
Region VII: Central Visayas,20393,1057,17684
Region VIII: Eastern Visayas,3628,26,2498
Region X: Northern Mindanao,1992,28,1228
Region XI: Davao Region,2459,63,1979
Region XII: SOCCSKSARGEN,895,12,558
