region,confirmed,deaths,recovered
BARMM,498,5,321
CAR,453,4,178
CARAGA,317,2,109
NCR,76870,1106,35457
REPATRIATE,6399,15,4223
Region I: Ilocos Region,671,22,236
Region II: Cagayan Valley,519,2,219
Region III: Central Luzon,4166,64,1594
Region IV-A: CALABARZON,18054,189,5460
Region IV-B: MIMAROPA,412,6,176
Region IX: Zamboanga Peninsula,1021,24,556
Region V: Bicol Region,886,7,321
Region VI: Western Visayas,2317,28,946
Region VII: Central Visayas,17784,765,12946
Region VIII: Eastern Visayas,1355,3,740
Region X: Northern Mindanao,862,12,411
Region XI: Davao Region,1572,51,984
Region XII: SOCCSKSARGEN,453,3,214
