region,confirmed,deaths,recovered
BARMM,1324,37,822
CAR,1649,16,1032
CARAGA,1432,23,920
NCR,164711,2700,138872
ROF,11929,30,11476
Region I: Ilocos Region,2020,47,1322
Region II: Cagayan Valley,1908,22,1191
Region III: Central Luzon,16688,203,11309
Region IV-A: CALABARZON,54642,591,41336
Region IV-B: MIMAROPA,1502,23,1018
Region IX: Zamboanga Peninsula,2296,95,1745
Region V: Bicol Region,2547,65,2022
Region VI: Western Visayas,12089,253,8447
Region VII: Central Visayas,22168,1235,19424
Region VIII: Eastern Visayas,4928,40,4106
Region X: Northern Mindanao,3281,61,2119
Region XI: Davao Region,3272,80,2547
Region XII: SOCCSKSARGEN,1719,32,1087
