region,confirmed,deaths,recovered
BARMM,1938,53,1427
CAR,3444,37,2159
CARAGA,2800,83,1819
NCR,184275,3301,168947
ROF,12631,37,12243
Region I: Ilocos Region,3044,82,2406
Region II: Cagayan Valley,2918,37,2172
Region III: Central Luzon,22007,317,18370
Region IV-A: CALABARZON,68625,828,59155
Region IV-B: MIMAROPA,1963,28,1729
Region IX: Zamboanga Peninsula,3764,125,2552
Region V: Bicol Region,3182,98,2637
Region VI: Western Visayas,17133,398,13662
Region VII: Central Visayas,23615,1315,21211
Region VIII: Eastern Visayas,6686,55,5621
Region X: Northern Mindanao,5399,96,3798
Region XI: Davao Region,5124,139,3531
Region XII: SOCCSKSARGEN,2942,74,2057
