region,confirmed,deaths,recovered
BARMM,21,0,0
CAR,55,0,0
CARAGA,9,0,0
NCR,11656,0,0
Region I: Ilocos Region,71,0,0
Region II: Cagayan Valley,38,0,0
Region III: Central Luzon,664,0,0
Region IV-A: CALABARZON,1781,0,0
Region IV-B: MIMAROPA,67,0,0
Region IX: Zamboanga Peninsula,172,0,0
Region V: Bicol Region,83,0,0
Region VI: Western Visayas,121,0,0
Region VII: Central Visayas,3102,0,0
Region VIII: Eastern Visayas,39,0,0
Region X: Northern Mindanao,32,0,0
Region XI: Davao Region,352,0,0
Region XII: SOCCSKSARGEN,36,0,0
Repatriate,1067,0,0
