region,confirmed,deaths,recovered
BARMM,1860,53,1426
CAR,3159,32,2130
CARAGA,2703,81,1815
NCR,182969,3274,168408
ROF,12574,37,12208
Region I: Ilocos Region,2931,80,2403
Region II: Cagayan Valley,2852,35,2174
Region III: Central Luzon,21598,313,18376
Region IV-A: CALABARZON,67668,805,59119
Region IV-B: MIMAROPA,1953,28,1720
Region IX: Zamboanga Peninsula,3593,121,2524
Region V: Bicol Region,3138,96,2633
Region VI: Western Visayas,16489,385,13440
Region VII: Central Visayas,23439,1294,21224
Region VIII: Eastern Visayas,6559,53,5479
Region X: Northern Mindanao,5206,94,3788
Region XI: Davao Region,4847,122,3533
Region XII: SOCCSKSARGEN,2793,63,2015
