region,confirmed,deaths,recovered
BARMM,999,26,627
CAR,1087,14,781
CARAGA,975,12,502
NCR,149278,2367,116665
ROF,11391,30,10129
Region I: Ilocos Region,1707,38,1023
Region II: Cagayan Valley,1519,15,798
Region III: Central Luzon,13573,170,7795
Region IV-A: CALABARZON,46482,505,31793
Region IV-B: MIMAROPA,1121,19,659
Region IX: Zamboanga Peninsula,2002,75,1427
Region V: Bicol Region,2262,49,1574
Region VI: Western Visayas,9460,143,5612
Region VII: Central Visayas,21159,1191,18283
Region VIII: Eastern Visayas,4213,37,3266
Region X: Northern Mindanao,2455,45,1467
Region XI: Davao Region,2745,67,2210
Region XII: SOCCSKSARGEN,1275,17,656
