region,confirmed,deaths,recovered
BARMM,11,0,0
CAR,46,0,0
CARAGA,3,0,0
NCR,8750,0,0
Region I: Ilocos Region,64,0,0
Region II: Cagayan Valley,34,0,0
Region III: Central Luzon,474,0,0
Region IV-A: CALABARZON,1450,0,0
Region IV-B: MIMAROPA,37,0,0
Region IX: Zamboanga Peninsula,149,0,0
Region V: Bicol Region,73,0,0
Region VI: Western Visayas,106,0,0
Region VII: Central Visayas,1949,0,0
Region VIII: Eastern Visayas,28,0,0
Region X: Northern Mindanao,21,0,0
Region XI: Davao Region,199,0,0
Region XII: SOCCSKSARGEN,21,0,0
Repatriate,121,0,0
