region,confirmed,deaths,recovered
BARMM,2097,58,1665
CAR,4184,41,2580
CARAGA,3006,87,2218
NCR,187647,3362,175046
ROF,12889,36,12619
Region I: Ilocos Region,3193,89,2672
Region II: Cagayan Valley,3176,39,2588
Region III: Central Luzon,23255,350,20103
Region IV-A: CALABARZON,71032,863,64227
Region IV-B: MIMAROPA,2023,29,1850
Region IX: Zamboanga Peninsula,4166,127,3110
Region V: Bicol Region,3432,101,2832
Region VI: Western Visayas,18110,425,15227
Region VII: Central Visayas,23974,1327,21697
Region VIII: Eastern Visayas,7165,61,6074
Region X: Northern Mindanao,5786,116,4468
Region XI: Davao Region,6028,163,4162
Region XII: SOCCSKSARGEN,3312,82,2349
