region,confirmed,deaths,recovered
BARMM,217,4,50
CAR,155,3,96
CARAGA,175,1,34
MIMAROPA,182,4,84
NCR,30924,931,12152
REPATRIATE,2451,1,1056
Region I: Ilocos Region,216,13,74
Region II: Cagayan Valley,164,1,50
Region III: Central Luzon,1574,51,702
Region IV-A: CALABARZON,4723,157,1866
Region IX: Zamboanga Peninsula,489,11,207
Region V: Bicol Region,308,6,94
Region VI: Western Visayas,709,11,139
Region VII: Central Visayas,11266,392,3036
Region VIII: Eastern Visayas,667,2,304
Region X: Northern Mindanao,436,9,75
Region XI: Davao Region,853,37,441
Region XII: SOCCSKSARGEN,151,2,38
