region,confirmed,deaths,recovered
BARMM,708,13,507
CAR,894,9,505
CARAGA,533,5,351
NCR,125851,1753,89724
ROF,10253,20,7516
Region I: Ilocos Region,1215,29,779
Region II: Cagayan Valley,915,6,573
Region III: Central Luzon,8902,126,5007
Region IV-A: CALABARZON,34008,339,22081
Region IV-B: MIMAROPA,697,7,511
Region IX: Zamboanga Peninsula,1624,50,1060
Region V: Bicol Region,1721,30,1033
Region VI: Western Visayas,5568,76,2752
Region VII: Central Visayas,19874,1031,17054
Region VIII: Eastern Visayas,3106,13,1597
Region X: Northern Mindanao,1583,20,979
Region XI: Davao Region,2232,59,1689
Region XII: SOCCSKSARGEN,661,4,481
