region,confirmed,deaths,recovered
BARMM,322,5,87
CAR,195,2,103
CARAGA,201,1,98
MIMAROPA,233,4,104
NCR,43052,978,13864
REPATRIATE,2450,2,1132
Region I: Ilocos Region,288,14,88
Region II: Cagayan Valley,257,1,91
Region III: Central Luzon,1972,53,744
Region IV-A: CALABARZON,6568,160,1953
Region IX: Zamboanga Peninsula,656,13,240
Region V: Bicol Region,397,7,107
Region VI: Western Visayas,1033,16,293
Region VII: Central Visayas,13044,579,4541
Region VIII: Eastern Visayas,734,2,601
Region X: Northern Mindanao,559,11,75
Region XI: Davao Region,1108,43,543
Region XII: SOCCSKSARGEN,261,2,67
