region,confirmed,deaths,recovered
BARMM,34,0,0
CAR,80,0,0
CARAGA,15,0,0
NCR,13585,0,0
Region I: Ilocos Region,112,0,0
Region II: Cagayan Valley,41,0,0
Region III: Central Luzon,733,0,0
Region IV-A: CALABARZON,1975,0,0
Region IV-B: MIMAROPA,74,0,0
Region IX: Zamboanga Peninsula,170,0,0
Region V: Bicol Region,93,0,0
Region VI: Western Visayas,134,0,0
Region VII: Central Visayas,4230,0,0
Region VIII: Eastern Visayas,126,0,0
Region X: Northern Mindanao,63,0,0
Region XI: Davao Region,414,0,0
Region XII: SOCCSKSARGEN,34,0,0
Repatriate,1515,0,0
