region,confirmed,deaths,recovered
BARMM,437,5,317
CAR,330,4,147
CARAGA,225,2,97
NCR,59805,1033,34346
REPATRIATE,5050,13,3734
Region I: Ilocos Region,511,17,204
Region II: Cagayan Valley,357,1,191
Region III: Central Luzon,3114,64,1576
Region IV-A: CALABARZON,13113,172,5305
Region IV-B: MIMAROPA,306,6,178
Region IX: Zamboanga Peninsula,835,19,529
Region V: Bicol Region,604,7,292
Region VI: Western Visayas,1580,18,804
Region VII: Central Visayas,16954,685,12069
Region VIII: Eastern Visayas,995,2,629
Region X: Northern Mindanao,721,11,413
Region XI: Davao Region,1393,48,859
Region XII: SOCCSKSARGEN,368,3,174
