region,confirmed,deaths,recovered
BARMM,882,26,627
CAR,1035,13,765
CARAGA,813,12,497
NCR,144874,2298,116356
ROF,11058,29,9942
Region I: Ilocos Region,1593,37,1024
Region II: Cagayan Valley,1423,15,784
Region III: Central Luzon,12300,166,7740
Region IV-A: CALABARZON,44206,462,31552
Region IV-B: MIMAROPA,1037,16,660
Region IX: Zamboanga Peninsula,1948,69,1405
Region V: Bicol Region,2191,46,1576
Region VI: Western Visayas,8826,128,5372
Region VII: Central Visayas,20914,1181,18160
Region VIII: Eastern Visayas,3990,35,3091
Region X: Northern Mindanao,2305,38,1465
Region XI: Davao Region,2637,67,2118
Region XII: SOCCSKSARGEN,1159,15,632
