region,confirmed,deaths,recovered
BARMM,1301,37,822
CAR,1577,16,997
CARAGA,1399,21,771
NCR,163780,2674,138708
ROF,11915,30,11410
Region I: Ilocos Region,1996,42,1320
Region II: Cagayan Valley,1883,22,1191
Region III: Central Luzon,16508,202,11302
Region IV-A: CALABARZON,54048,588,41279
Region IV-B: MIMAROPA,1466,23,1019
Region IX: Zamboanga Peninsula,2280,91,1744
Region V: Bicol Region,2529,63,2014
Region VI: Western Visayas,11964,247,8351
Region VII: Central Visayas,22130,1229,19349
Region VIII: Eastern Visayas,4829,40,4033
Region X: Northern Mindanao,3244,58,2120
Region XI: Davao Region,3189,80,2545
Region XII: SOCCSKSARGEN,1672,32,1082
