region,confirmed,deaths,recovered
BARMM,555,7,431
CAR,684,7,313
CARAGA,355,1,249
NCR,94842,1246,62886
REPATRIATE,7382,15,5390
Region I: Ilocos Region,894,23,488
Region II: Cagayan Valley,646,3,355
Region III: Central Luzon,5640,71,3010
Region IV-A: CALABARZON,23543,221,13494
Region IV-B: MIMAROPA,551,6,300
Region IX: Zamboanga Peninsula,1209,32,768
Region V: Bicol Region,1117,16,591
Region VI: Western Visayas,3067,30,1435
Region VII: Central Visayas,18667,929,15679
Region VIII: Eastern Visayas,1679,3,1002
Region X: Northern Mindanao,1135,14,663
Region XI: Davao Region,1835,55,1295
Region XII: SOCCSKSARGEN,520,4,369
