region,confirmed,deaths,recovered
BARMM,1750,52,1299
CAR,2839,30,1800
CARAGA,2467,75,1506
NCR,180941,3191,162716
ROF,12468,36,12100
Region I: Ilocos Region,2861,77,1969
Region II: Cagayan Valley,2726,34,1921
Region III: Central Luzon,21030,278,16669
Region IV-A: CALABARZON,66159,764,55074
Region IV-B: MIMAROPA,1919,28,1521
Region IX: Zamboanga Peninsula,3337,118,2186
Region V: Bicol Region,3014,92,2459
Region VI: Western Visayas,15821,365,12384
Region VII: Central Visayas,23226,1280,20893
Region VIII: Eastern Visayas,6205,53,5170
Region X: Northern Mindanao,4797,93,3261
Region XI: Davao Region,4422,113,3221
Region XII: SOCCSKSARGEN,2554,57,1752
