region,confirmed,deaths,recovered
BARMM,850,22,571
CAR,1029,11,695
CARAGA,762,11,472
NCR,141520,2107,105735
ROF,10683,25,9038
Region I: Ilocos Region,1467,35,907
Region II: Cagayan Valley,1252,11,647
Region III: Central Luzon,11166,157,6353
Region IV-A: CALABARZON,41754,419,27263
Region IV-B: MIMAROPA,939,15,601
Region IX: Zamboanga Peninsula,1850,62,1294
Region V: Bicol Region,2112,41,1308
Region VI: Western Visayas,8126,111,4305
Region VII: Central Visayas,20680,1111,17682
Region VIII: Eastern Visayas,3855,31,2764
Region X: Northern Mindanao,2191,33,1231
Region XI: Davao Region,2534,66,2064
Region XII: SOCCSKSARGEN,1050,15,564
