region,confirmed,deaths,recovered
BARMM,484,5,317
CAR,392,4,153
CARAGA,294,2,104
NCR,69434,1077,35123
REPATRIATE,5886,14,4055
Region I: Ilocos Region,589,17,206
Region II: Cagayan Valley,460,2,193
Region III: Central Luzon,3589,64,1591
Region IV-A: CALABARZON,15451,175,5377
Region IV-B: MIMAROPA,380,6,178
Region IX: Zamboanga Peninsula,948,21,553
Region V: Bicol Region,752,7,293
Region VI: Western Visayas,1855,23,829
Region VII: Central Visayas,17405,720,12478
Region VIII: Eastern Visayas,1200,2,654
Region X: Northern Mindanao,801,12,412
Region XI: Davao Region,1469,51,906
Region XII: SOCCSKSARGEN,407,3,181
