region,confirmed,deaths,recovered
BARMM,2040,54,1665
CAR,3843,41,2596
CARAGA,2940,83,2219
NCR,186372,3339,174997
ROF,12811,36,12579
Region I: Ilocos Region,3142,88,2664
Region II: Cagayan Valley,3078,37,2588
Region III: Central Luzon,22687,330,20087
Region IV-A: CALABARZON,70162,837,64199
Region IV-B: MIMAROPA,2008,28,1845
Region IX: Zamboanga Peninsula,4028,126,3107
Region V: Bicol Region,3356,99,2832
Region VI: Western Visayas,17711,415,15104
Region VII: Central Visayas,23848,1318,21709
Region VIII: Eastern Visayas,7009,57,6018
Region X: Northern Mindanao,5637,113,4469
Region XI: Davao Region,5596,147,4129
Region XII: SOCCSKSARGEN,3175,79,2340
