region,confirmed,deaths,recovered
BARMM,460,5,317
CAR,359,4,154
CARAGA,280,2,104
NCR,64258,1046,34585
REPATRIATE,5267,13,3933
Region I: Ilocos Region,543,17,205
Region II: Cagayan Valley,395,1,193
Region III: Central Luzon,3364,64,1579
Region IV-A: CALABARZON,14023,173,5373
Region IV-B: MIMAROPA,345,6,181
Region IX: Zamboanga Peninsula,897,21,546
Region V: Bicol Region,641,7,294
Region VI: Western Visayas,1751,19,822
Region VII: Central Visayas,17246,699,12384
Region VIII: Eastern Visayas,1041,2,653
Region X: Northern Mindanao,747,12,414
Region XI: Davao Region,1445,51,868
Region XII: SOCCSKSARGEN,399,3,177
