region,confirmed,deaths,recovered
BARMM,452,5,317
CAR,343,4,147
CARAGA,248,2,97
NCR,62173,1036,34398
REPATRIATE,5135,13,3799
Region I: Ilocos Region,526,17,204
Region II: Cagayan Valley,377,1,191
Region III: Central Luzon,3212,64,1576
Region IV-A: CALABARZON,13483,172,5356
Region IV-B: MIMAROPA,328,6,181
Region IX: Zamboanga Peninsula,855,19,529
Region V: Bicol Region,629,7,292
Region VI: Western Visayas,1662,18,814
Region VII: Central Visayas,17023,689,12147
Region VIII: Eastern Visayas,1014,2,631
Region X: Northern Mindanao,732,11,412
Region XI: Davao Region,1403,49,870
Region XII: SOCCSKSARGEN,389,3,174
