region,confirmed,deaths,recovered
BARMM,532,6,320
CAR,589,7,184
CARAGA,327,2,135
NCR,88044,1200,37892
REPATRIATE,7122,15,4451
Region I: Ilocos Region,837,23,266
Region II: Cagayan Valley,609,2,259
Region III: Central Luzon,4996,66,1600
Region IV-A: CALABARZON,21167,211,5502
Region IV-B: MIMAROPA,514,6,201
Region IX: Zamboanga Peninsula,1118,31,573
Region V: Bicol Region,1060,14,344
Region VI: Western Visayas,2799,30,1022
Region VII: Central Visayas,18405,910,13630
Region VIII: Eastern Visayas,1545,3,872
Region X: Northern Mindanao,1020,13,456
Region XI: Davao Region,1727,53,1047
Region XII: SOCCSKSARGEN,491,4,245
