region,confirmed,deaths,recovered
BARMM,1250,36,822
CAR,1447,16,988
CARAGA,1287,21,771
NCR,162277,2629,138369
ROF,11865,30,11344
Region I: Ilocos Region,1941,42,1320
Region II: Cagayan Valley,1856,22,1192
Region III: Central Luzon,16096,197,11269
Region IV-A: CALABARZON,52956,573,41224
Region IV-B: MIMAROPA,1416,21,1006
Region IX: Zamboanga Peninsula,2232,85,1715
Region V: Bicol Region,2490,60,2012
Region VI: Western Visayas,11595,218,8242
Region VII: Central Visayas,22057,1224,19330
Region VIII: Eastern Visayas,4773,40,3945
Region X: Northern Mindanao,3032,56,2124
Region XI: Davao Region,3099,74,2477
Region XII: SOCCSKSARGEN,1618,28,1065
