region,confirmed,deaths,recovered
BARMM,1373,38,996
CAR,1852,19,1159
CARAGA,1564,34,1004
NCR,168173,2775,147122
ROF,11974,30,11716
Region I: Ilocos Region,2223,52,1537
Region II: Cagayan Valley,1998,28,1443
Region III: Central Luzon,17441,213,13214
Region IV-A: CALABARZON,56641,630,46143
Region IV-B: MIMAROPA,1601,24,1146
Region IX: Zamboanga Peninsula,2385,95,1880
Region V: Bicol Region,2609,75,2191
Region VI: Western Visayas,12704,268,9404
Region VII: Central Visayas,22349,1254,19747
Region VIII: Eastern Visayas,5076,43,4327
Region X: Northern Mindanao,3392,67,2436
Region XI: Davao Region,3376,87,2672
Region XII: SOCCSKSARGEN,1843,34,1268
