region,confirmed,deaths,recovered
BARMM,2011,54,1427
CAR,3699,40,2302
CARAGA,2893,83,1816
NCR,185795,3335,169639
ROF,12780,36,12358
Region I: Ilocos Region,3089,86,2416
Region II: Cagayan Valley,3026,37,2217
Region III: Central Luzon,22463,329,18390
Region IV-A: CALABARZON,69712,837,59365
Region IV-B: MIMAROPA,1986,28,1731
Region IX: Zamboanga Peninsula,3989,125,2570
Region V: Bicol Region,3300,99,2636
Region VI: Western Visayas,17575,412,14097
Region VII: Central Visayas,23758,1316,21204
Region VIII: Eastern Visayas,6915,57,5839
Region X: Northern Mindanao,5564,113,3801
Region XI: Davao Region,5403,147,3574
Region XII: SOCCSKSARGEN,3098,76,2072
