region,confirmed,deaths,recovered
BARMM,1907,53,1426
CAR,3320,35,2136
CARAGA,2745,83,1816
NCR,183750,3292,168704
ROF,12601,37,12219
Region I: Ilocos Region,2992,81,2405
Region II: Cagayan Valley,2888,37,2171
Region III: Central Luzon,21829,315,18370
Region IV-A: CALABARZON,68289,824,59131
Region IV-B: MIMAROPA,1960,28,1722
Region IX: Zamboanga Peninsula,3708,125,2542
Region V: Bicol Region,3168,98,2633
Region VI: Western Visayas,16936,391,13616
Region VII: Central Visayas,23519,1297,21219
Region VIII: Eastern Visayas,6626,54,5512
Region X: Northern Mindanao,5299,96,3792
Region XI: Davao Region,5037,124,3530
Region XII: SOCCSKSARGEN,2876,72,2041
