region,confirmed,deaths,recovered
BARMM,638,11,457
CAR,794,9,373
CARAGA,490,4,298
NCR,115906,1553,75658
REPATRIATE,9380,17,6667
Region I: Ilocos Region,1070,26,611
Region II: Cagayan Valley,746,4,487
Region III: Central Luzon,7743,97,3852
Region IV-A: CALABARZON,30489,282,17281
Region IV-B: MIMAROPA,666,7,405
Region IX: Zamboanga Peninsula,1442,44,910
Region V: Bicol Region,1496,22,772
Region VI: Western Visayas,4767,51,1887
Region VII: Central Visayas,19367,1017,16430
Region VIII: Eastern Visayas,2453,8,1399
Region X: Northern Mindanao,1388,17,765
Region XI: Davao Region,2064,57,1567
Region XII: SOCCSKSARGEN,609,4,431
