region,confirmed,deaths,recovered
BARMM,289,4,55
CAR,163,3,96
CARAGA,178,1,34
MIMAROPA,202,4,95
NCR,35572,966,12795
REPATRIATE,2451,2,1098
Region I: Ilocos Region,229,14,76
Region II: Cagayan Valley,208,1,73
Region III: Central Luzon,1720,51,703
Region IV-A: CALABARZON,5427,158,1912
Region IX: Zamboanga Peninsula,527,12,209
Region V: Bicol Region,335,7,96
Region VI: Western Visayas,827,12,182
Region VII: Central Visayas,11668,534,3188
Region VIII: Eastern Visayas,695,2,362
Region X: Northern Mindanao,519,11,74
Region XI: Davao Region,946,42,464
Region XII: SOCCSKSARGEN,201,2,59
