region,confirmed,deaths,recovered
BARMM,557,8,430
CAR,703,8,313
CARAGA,362,1,247
NCR,100456,1331,63704
REPATRIATE,7999,19,5488
Region I: Ilocos Region,921,24,488
Region II: Cagayan Valley,671,3,357
Region III: Central Luzon,6004,77,3025
Region IV-A: CALABARZON,24984,236,13631
Region IV-B: MIMAROPA,555,6,304
Region IX: Zamboanga Peninsula,1244,36,777
Region V: Bicol Region,1132,17,592
Region VI: Western Visayas,3334,37,1489
Region VII: Central Visayas,18873,999,15780
Region VIII: Eastern Visayas,1836,3,1063
Region X: Northern Mindanao,1161,14,660
Region XI: Davao Region,1911,56,1378
Region XII: SOCCSKSARGEN,538,4,380
