region,confirmed,deaths,recovered
BARMM,493,5,322
CAR,424,4,178
CARAGA,317,2,109
NCR,75399,1099,35406
REPATRIATE,6345,14,4167
Region I: Ilocos Region,656,21,238
Region II: Cagayan Valley,481,2,219
Region III: Central Luzon,4072,64,1595
Region IV-A: CALABARZON,17243,186,5456
Region IV-B: MIMAROPA,398,6,176
Region IX: Zamboanga Peninsula,1001,24,556
Region V: Bicol Region,845,7,322
Region VI: Western Visayas,2158,27,925
Region VII: Central Visayas,17653,759,12831
Region VIII: Eastern Visayas,1340,3,713
Region X: Northern Mindanao,865,12,411
Region XI: Davao Region,1562,51,968
Region XII: SOCCSKSARGEN,448,3,209
