region,confirmed,deaths,recovered
BARMM,1449,44,994
CAR,2116,21,1302
CARAGA,1803,46,1006
NCR,172520,2980,147981
ROF,12071,32,11840
Region I: Ilocos Region,2328,58,1533
Region II: Cagayan Valley,2169,30,1444
Region III: Central Luzon,18554,236,13325
Region IV-A: CALABARZON,60012,677,46369
Region IV-B: MIMAROPA,1735,24,1143
Region IX: Zamboanga Peninsula,2552,99,1924
Region V: Bicol Region,2677,79,2194
Region VI: Western Visayas,13577,290,9873
Region VII: Central Visayas,22602,1272,19785
Region VIII: Eastern Visayas,5367,46,4478
Region X: Northern Mindanao,3744,74,2438
Region XI: Davao Region,3638,94,2815
Region XII: SOCCSKSARGEN,2030,40,1285
