region,confirmed,deaths,recovered
BARMM,1665,48,1153
CAR,2564,26,1627
CARAGA,2264,75,1407
NCR,178623,3127,156345
ROF,12267,36,11953
Region I: Ilocos Region,2739,72,1779
Region II: Cagayan Valley,2545,34,1735
Region III: Central Luzon,20178,266,15108
Region IV-A: CALABARZON,64606,749,50954
Region IV-B: MIMAROPA,1881,26,1341
Region IX: Zamboanga Peninsula,3139,108,2040
Region V: Bicol Region,2916,89,2335
Region VI: Western Visayas,15203,353,11383
Region VII: Central Visayas,23058,1282,20407
Region VIII: Eastern Visayas,5942,50,4923
Region X: Northern Mindanao,4465,91,2783
Region XI: Davao Region,4133,110,2891
Region XII: SOCCSKSARGEN,2384,51,1528
