region,confirmed,deaths,recovered
BARMM,129,0,0
CAR,138,0,0
CARAGA,164,0,0
MIMAROPA,140,0,0
NCR,22240,0,0
Region I: Ilocos Region,196,0,0
Region II: Cagayan Valley,114,0,0
Region III: Central Luzon,1328,0,0
Region IV-A: CALABARZON,3606,0,0
Region IX: Zamboanga Peninsula,377,0,0
Region V: Bicol Region,240,0,0
Region VI: Western Visayas,454,0,0
Region VII: Central Visayas,10183,0,0
Region VIII: Eastern Visayas,593,0,0
Region X: Northern Mindanao,225,0,0
Region XI: Davao Region,682,0,0
Region XII: SOCCSKSARGEN,101,0,0
Repatriate,460,0,0
