region,confirmed,deaths,recovered
BARMM,869,25,628
CAR,1060,13,767
CARAGA,808,12,497
NCR,144200,2285,116672
ROF,10986,29,9937
Region I: Ilocos Region,1547,37,1025
Region II: Cagayan Valley,1342,12,781
Region III: Central Luzon,12033,164,7746
Region IV-A: CALABARZON,43432,457,31587
Region IV-B: MIMAROPA,1018,16,659
Region IX: Zamboanga Peninsula,1904,68,1395
Region V: Bicol Region,2163,44,1576
Region VI: Western Visayas,8536,128,5312
Region VII: Central Visayas,20829,1178,18147
Region VIII: Eastern Visayas,3954,34,2970
Region X: Northern Mindanao,2286,36,1462
Region XI: Davao Region,2600,67,2115
Region XII: SOCCSKSARGEN,1139,15,629
