region,confirmed,deaths,recovered
BARMM,1767,52,1305
CAR,2871,30,1840
CARAGA,2512,75,1505
NCR,181423,3201,163050
ROF,12505,36,12119
Region I: Ilocos Region,2873,77,1976
Region II: Cagayan Valley,2759,35,1929
Region III: Central Luzon,21129,278,16683
Region IV-A: CALABARZON,66414,771,55131
Region IV-B: MIMAROPA,1929,28,1522
Region IX: Zamboanga Peninsula,3412,118,2197
Region V: Bicol Region,3023,92,2466
Region VI: Western Visayas,15990,371,12587
Region VII: Central Visayas,23265,1283,20901
Region VIII: Eastern Visayas,6294,53,5182
Region X: Northern Mindanao,4876,93,3271
Region XI: Davao Region,4519,120,3283
Region XII: SOCCSKSARGEN,2621,59,1785
