region,confirmed,deaths,recovered
BARMM,1685,49,1297
CAR,2635,26,1760
CARAGA,2279,75,1509
NCR,179452,3158,162061
ROF,12291,36,12013
Region I: Ilocos Region,2774,73,1970
Region II: Cagayan Valley,2585,34,1916
Region III: Central Luzon,20489,273,16628
Region IV-A: CALABARZON,65006,754,55057
Region IV-B: MIMAROPA,1896,28,1505
Region IX: Zamboanga Peninsula,3195,108,2189
Region V: Bicol Region,2937,89,2456
Region VI: Western Visayas,15383,355,12125
Region VII: Central Visayas,23092,1281,20832
Region VIII: Eastern Visayas,6025,50,5060
Region X: Northern Mindanao,4517,91,3252
Region XI: Davao Region,4179,111,3155
Region XII: SOCCSKSARGEN,2448,51,1717
