region,confirmed,deaths,recovered
BARMM,1360,38,821
CAR,1748,18,1061
CARAGA,1519,32,979
NCR,166861,2740,139203
ROF,11967,30,11515
Region I: Ilocos Region,2112,51,1321
Region II: Cagayan Valley,1940,27,1190
Region III: Central Luzon,17110,211,11304
Region IV-A: CALABARZON,55954,602,41403
Region IV-B: MIMAROPA,1574,23,1017
Region IX: Zamboanga Peninsula,2356,95,1753
Region V: Bicol Region,2572,70,2024
Region VI: Western Visayas,12505,259,8577
Region VII: Central Visayas,22276,1248,19415
Region VIII: Eastern Visayas,5046,41,4201
Region X: Northern Mindanao,3356,66,2124
Region XI: Davao Region,3330,85,2600
Region XII: SOCCSKSARGEN,1792,33,1100
