region,confirmed,deaths,recovered
BARMM,11,0,0
CAR,45,0,0
CARAGA,3,0,0
NCR,8131,0,0
Region I: Ilocos Region,63,0,0
Region II: Cagayan Valley,34,0,0
Region III: Central Luzon,430,0,0
Region IV-A: CALABARZON,1406,0,0
Region IV-B: MIMAROPA,36,0,0
Region IX: Zamboanga Peninsula,130,0,0
Region V: Bicol Region,71,0,0
Region VI: Western Visayas,105,0,0
Region VII: Central Visayas,1756,0,0
Region VIII: Eastern Visayas,27,0,0
Region X: Northern Mindanao,21,0,0
Region XI: Davao Region,199,0,0
Region XII: SOCCSKSARGEN,17,0,0
